Roche
Olea
Egerton
Beane etes
Plana
Prox
Aconitum
Napellus
Amaranthus caudatus
Anagallis arvensis
Buffonia annua
Buphthalmum cordifolium
Bupleurum rotundifolium
Conium maculatum
Cytisus
Dipsacus laciniatus
Elsholtzia cristata
Erysimum
Helianthus indicus
Heraclcum elegans
Hyoscyamus niger
Iberis umbellata
Iris sibirica
Lathyrus heterophyllus
Leonurus
Cardiaca
Malcomia maritima
Malope grandiflora
Momordica
Nepeta
Cataria
Nicandra
Nigella nana
Orobus niger
Stenactis speciosa
Tetragonolobus purpureus
Trigonella foenum-graecum
Tropeolum majus
Cucurbita ovifera
Gilia achillezfolia
Medicago maculata
Calandrinia speciosa
Callichroa platyglossa
Collomia coccinea
Coreopsis atrosanguinea
Cotoneaster rotundifolia
Crateegus macrantha
Cynoglossum glochidatum
Digitalis lutea
Eutoca viscida
Glaucium rubrum
Godetia
Lindleyana
Gladiolus psittacinus
Impatiens glanduligera
Lupinus succulentus
Nolana atriplicifolia
Oxyura chrysanthemoides
Phacelia tanacetifolia
Potentilla nepalensis
Sphenogyne speciosa
Alstroeemeria pelegrina
Carpinus
Betula
Catalpa cordifolia
Cercis canadensis
Cerinthe major
Cichorium
Endivia
Cobzea scandens
Cuphea procumbens
Dolichos lignosus
Galinsogea trilobata
Aquifolium
Juniperus communis
Loasa nitida
Martynia proboscidea
Mesembryanthemum crystallinum
Mirabilis
Morus nigra
Ricinus communis
Rudbeckia amplexicaulis
Scorpiurus suleata
Tetragonia expansa
Ulex europea
Quercus
Robur
Dactylifera
Testacea
Mammalia
Ades
Testacea
Testacea
Purpura lapillus
Buccinum reticulatum
Patella pellucida
Fissurella nubecula
Saxicava rugosa
Pholas lamellata
Pholas
Pholas parva
Mollusca
Radiata
Radiata
Mollusca
Mollusca
Radiata
Articulata
Radiata
Mollusca
Radiata
Cephalopoda
Octopus vulgaris
Sepia officinalis
Scpiola rondeletii
Sepiola
Octopus maecropodius
Cerigo
Argonauta
Pteropoda
Pteropoda
Cleodora
Criseis
Cleodora
Hyalea tridentata
Pteropoda
Carinaria
Pteropoda
Pteropoda
Hyalea
J. tridentata
Cleodora
Peron
Criseis
Ladas
Bellerophina
J. minuta
Carinaria
Firola
Goniodoris
Tethys leporina
Veriumnus tethydicola
Nudibranchia
Nudibranchia
Line ciseeone coccinea
Naxia
Litteecseresere aurata
Goniodoris
Tethys
Tritonia
Lin. pelagica
Gasteropoda
Tectibranchiata
Tectibranchiata
Aplysia
Pleurobranchus
Gasteropteron
Doridium
Budla convoluta
Dentalia
Ditrupa
Pleurobranchus
Cuv. aurantiacus
Lam. mediterranea
Tectibranchiata
Aplysia
Lin. depilans
Bullea
Lam. aperta
Lin. lignaria
Haliotis
Crepidula
Lam. fornicata
Mollusca
Can. huzardii
Fissurella
N. gibba
Lottia
Gadinia
Can. lusitanica
Lin. squamosus
N. fascicularis
N. fissura
I. rubescens
Gasteropoda
Auricula myosotis
Gasteropoda
Fusus crispus
Buccinum semistriatum
Phorus agglutinans
Coriocella
Natica
Eulima
N. distorta
N. unifasciata
Parthenia
Parthenia
Odostomia
Truncatella
Lus. violacea
N. cancellata
Yr. reticulata
N. ovatella
Lus. pulchella
N. cingilus
N. pulchra
Vets elongata
Littorina
Fossarus
Scalaria
Lam. communis
N. lamellosa
Can. planicosta
Turritella
Lam. triplicata
N. suturalis
Vermetus
Adanson gigas
Vermetus
Siliquaria
Nerita
Lin. viridis
Adeorbis
Scissurella
Lam. stramineum
Eux vielloti
Corea racketti
Vere umbilicaris
Turbo
Phasianella
Lam. pulla
N. intermedia
Lam. nitens
Cerithium
Triforis
Pleurotoma
Fasciolaria
Lam. tarentina
Fusus
Lin. brandaris
I. fistulosus
Aporrhais
Ranella
Lam. variegatum
Cassidaria
Lam. tyrrhena
Dolium
Pollia
Nassa
N. variabile
Can. musiva
Can. gibbosula
Columbella
Can. linnei
Eux. gervillii
Lam. ebenus
Tornatella
Lam. fasciata
N. pusilla
Tornatella
Marginella
Lam. clandestina
Ringuicula
Cyprea
Conus
Lin. mediterraneus
Brachiopoda
Crania
Testacea
Terebratula vitrea
Crania ringens
Terebratula caput serpentis
Terebratula
Can. cuneata
Crania
Lamellibranchiata
Mollusca
Neera costellata
Ligula profundissima
Kellia abyssicola
Pholus candidus
Artemis exoleta
Venus casina
Diplodonta apicalis
Lamellibranchiata
Clavagella
Lam. melitensis
Gastrochena
Solen
Solecurtus
Bi. strigillatus
N. prismatica
Mactra
Lin. stultorum
N. rubra
Ath abyssicola
Solenomya
Lam. mediterranea
Byssomya
Corbula
Poromya
Neera
N. costellata
Lam. rostrata
Lyonsia
Thracia
N. phaseolina
Saxicava
Lam. arctica
Venerupis
Psammobia
Lam. vespertina
Tellina
Lin. pulchella
Bux. donacina
Can. rotundata
Donax
Lin. trunculus
N. venusta
Can. complanata
Mesodesma
Lam. apicalis
Lin. gallina
Pullastra
Sow. virginea
Cardium
Lin. echinatum
Cardita
Arca
Lin. barbata
Pectunculus
Lam. glycimeris
Ilus
Mammalia
Mammalia
Yr. emarginata
Lam. barbata
N. marmorata
Lithodomus
Lam. lithophagus
Mytilus
Lam. gallo-provincialis
Lamellibranchiata
Mollusca
Lamellibranchiata
Avicula
Can. tenera
Ostrea
Lin. plicatula
Anomia
Mollusca
Tunicata
Salpa maxima
Phallusia
Ciona
Cyathia
Radiata
Rhizostome
Beroe
Cestem veneris
Cydippe
Pyramis
Velella spirans
Porpita glandifera
Patara
Rhizostoma
Cephea
Peron
Peron
Serpho
Thaumantias
Peron
Geryonia
Peron
Mesonema
Porpita
Stephanomia
Peron
Cestum
Cydippe
Pyramis
Echinodermata
Comatula
C. rosacea
Phytocrinus
Ophiura texturata
Amphiura neglecta
Ophiothrix rosula
Peetinura vestita
Ophiura abyssicola
Ophiomyxa labrica
Ophiopsila aranea
Amphiura neglecta
Asterina
Uraster glacialis
Echinus lividus
Cerigo
E. monilis
Spatangus purpureus
Cidaris
Cucumaria pentactes
Syrinz nudus
Ophioderma
Tros
Echinodermata
Crinoidea
Comatula
Pectinura
Ophiura
Ophiomyxa
Tros
Ophiopsila
Amphiura
Tros
Ophidiaster
Cribrella
Luidia
Cidaris
Echinocyamus
Spatangus
Amphidetus
Brissus
Chirodota
Sipunculus
Zoophyta
Mollusca
Corallium rubrum
Fareimia fistulosa
Cladocora
Porites dedalea
Serpho
Edvardsia vestita
Alcyonia
Pennatula
Gorgonia
Caryophyllia
Hornera
Myriapora truncata
Pennatula
Retepora
Campanularia
Crisia
Grantia
Mollusca
Radiata
Peeten opercularis
Venerupis irus
Venus fasciata
Cardita trapezia
Modiola barbata
Fusus
Mollusca
Pteropoda
Mollusca
Gasteropoda
Cephalopoda
Mollusca
Radiata
Mollusca
Lithodomus
Clavagella
Mollusca
Cladocora cespitosa
Mollusca
Mollusca
Mollusca
Testacea
Testacea
Mollusca
Testacea
Mollusca
Ampullaria ovata
Paludina unicolor
Cyrena orientalis
Testacea
Melanopsis
Mollusca
Littorina
Patella scutellaris
Kellia rubra
Mytilus minimus
Fossarus adansoni
Mesodesma donacilla
Nassa mutabile
Cerithium
Z�runcatella truncata
Mollusca
Littorina
Dictyota dichotoma
Coratlina officinalis
Ochthosia
Mollusca
Radiata
Articulata
Solen strigillatus
Lucina desmarestii
Amphidesma
Venerupis decussata
Donax
Tellina
Lacing lactea
Arca barbata
Chama gryphoides
Lithodomus
Chiton squamosus
Patella bonnardi
Fissurelia costaria
Vermetus
Haliotis
Cerithium fuscatum
Fasciolaria tarentina
Fusus lignarius
Murex trunculus
Pollia maculosa
Columbella rustica
Cyprea spurca
Conus mediterraneus
Radiata
Articulata
Gasteropoda
Mollusca
Cladocora caspitosa
Actinea rubra
Padina
Crustacea
Zostera
Pinna squamosa
Zostera
Mollusca
Crustacea
Testacea
Lamellibranchiata
Clavagella
Mesodesma donacilla
Solen siliqua
Venus gallina
Solecurtus strigillatus
Ligula sicula
Mactra stultorum
Cardium rusticum
Kellia corbuloides
Cardita calyculata
Tellina donacina
Arca barbata
Lucina pecten
Lithodomus lithophagus
Mytilus gallo-provineialis
Venerupis irus
Pinna squamosa
Lima squamosa
Donax trunculus
Ostrea plicatula
Gasteropoda
Patella scutellaris
Patella lusitanica
Gadinia garnoti
Crepidula fornicata
Emarginula huzardi
Fissurella costaria
Bullzea angustata
Bulla striata
Eulima polita
Truncatella truncatulum
Rissoa desmarestii
Littorina
Fossarus adansoni
Scalaria lamellosa
Vermetus gigas
Nerita viridis
Haliotis lamellosus
Adeorbis subcarinata
Trochus vielloti
Trochus fragarioides
Phasianella pulla
Tanthina nitens
Cerithium fuseatum
Triforis adversum
Pleurotoma albida
Fasciolaria tarentina
Fusus lyciacus
Murex brandaris
Ranella lanceolata
Pollia maculosa
Nassa reticulata
Columbella rustica
Mitra littoralis
Marginella miliacea
Ringuicula
Cypreea lurida
Conus mediterraneus
Auricula myosotis
Cazlerpa prolifera
Zostera cecanica
Mollusca
Conchifera
Nucule margaritacea
Cerithium wulgatum
Testacea
Gasteropoda
Cerithium viulgatum
Trochus crenulatus
Rissoa ventricosa
Marginella clandestina
Lamellibranchiata
Zellina donacina
Lucina lactea
Nueula margaritacea
Cardium exiguun
Zostera
Caryophyllia
Lamellibranchiata
Solen tenuis
Lucina rotundata
Solecurtus strigillatus
Ligula boysii
Cardium papillosum
Solenomya mediterranea
Montacuta
Byssomya guerinii
Cardita sulcata
Corbula nucleus
Pandora obtusa
Area barbata
Thracia phaseolina
Pectunculus glycimeris
Psammobia vespertina
Nucula emarginata
Donax venusta
Cytherea chione
Modiola barbata
Venus gallina
Pinna squamosa
Lima squamosa
Tellina donacina
Pecten polymorphus
Lucina flexuosa
Ostrea plicatula
Chama gryphoides
Gasteropoda
Chiton rissoi
Calyptraea sinense
Crepidula unguiformis
Emarginula huzardii
Bulla hydatis
Natica valenciensii
Eulima polita
Parthenia eclegantissima
Odostomia
Rissoa desmarestii
Scalaria communis
Turritella triplicata
Nerita viridis
Trochus canaliculatus
Trochus adansoni
Turbo rugosus
Phasianella pulla
Cerithium lima
Triforis
Pleurotoma formicaria
Fusus syracusanus
Murex brandaris
Ranella gigantea
Nassa reticulata
Columbella rustica
Mitra obsoleta
Marginella clandestina
Ringuicula buccinea
Conus mediterraneus
Caulerpa
Zostera
Asterina
Zostera here
Mollusca
Zuecina lactea
Cardium papillosum
Tellina donacina
Cerithium lima
Testacea
Cerithium lima
Ligula boysii
Nucula margaritacea
Lueina lactea
Testacea
Lamellibranchiata
Solen tenuis
Solen antiquatus
Ligula boysii
Corbula nucleus
Nesera cuspidata
Pandora obtusa
Thracia phaseolina
Psammobia vespertina
Tellina pulchella
Lucina flexuosa
Cytherea chione
Venus verrucosa
Cardium echinatum
Calyptreea sinense
Fissurella graeca
Bulla convoluta
Natica millepunctata
Eulima polita
Parthenia elegantissima
Odostomia conoidea
Rissoa ventricosa
Scalaria communis
Turritella triplicata
Nerita viridis
Cardium punctatum
Cardita suleata
Arca lactea
Pectunculus glyeimeris
Nucula margaritacea
Chama gryphoides
Modiola barbata
Pinna squamosa
Lima squamosa
Ostrea plicatula
Gasteropoda
Turbo rugosus
Phasianella pulla
Cerithium vulgatum
Triforis adversum
Pleurotoma formicaria
Fusus lignarius
Fusus syracusanus
Murex brandaris
Aporrhais pes-pelecani
Dolium galea
Nassa prismatica
Nassa cornicula
Columbella rustica
Mitra savignii
Marginella clandestina
Conus mediterraneus
Dentalinm
Dictyomenia volubilis
Sargassum salicifolium
Codium bursa
Hydrodietyon umbilicatum
Porites dedalea
Retepora cellulosa
Tubulipora
Uyriapora truncata
Cellaria ceramioides
Comatula
Crustacea
Testacea
Nucula margaritacea
Nuecwla margaritacea
Arca lactea�cardium papillosum
Corbula nucleus
Cerithinm lacteum
Mollusca tunicata
Lamellibranchiata
Gastrochena cuneiformis
Lucina transversa
Solen tenuis
Ligula boysii
Astarte incrassata
Cytherea apicalis
Kellia suborbicularis
Corbula nucleus
Venus verrucosa
Negra costellata
Pandora obtusa
Cardium echinatum
Lyonsia striata
Thracia phaseolina
Saxieava arctica
Psammobia discors
Cardita sulcata
Tellina donacina
Area lactea
Lucina commutata
Pectunculus glycimeris
Nucula
Chama gryphoides
Modiola barbata
Pinna squamosa
Avicula tarentina
Lima squamosa
Terebratula detruncata
Calyptraea
Emarginula
Fissurella
Bullea aperta
Bulla hydatis
Natica millepunctata
Eulima polita
Parthenia acicula
Odostomia conoidea
Rissoa ventricosa
Turritella triplicata
Lima fragilis
Ostrea plicatula
Anomia ephippium
Terebratula cuneata
Gasteropoda
Vermetus corneus
Nerita viridis
Trochus
Turbo sanguineus
Phasianella pulla
Cenithium vulgatum
Jima
Triforis adversum
Pleurotoma formicaria
Fusus lignarius
Murex brandaris
Murex cristatus
Aporrhais pes-pelecani
Marginella clandestina
Nassa variabile
Tornatella fasciata
Columbella rustica
Cypreea europea
Conus mediterraneus
Mitra ebenus
Aytiphlea tinctoria
Chrysimenia uvaria
Dictyomenia volubilis
Echinodermata
Myriapora truncata
Testacea
Pecten opercularis
Turritella tricostata
Nucula emarginata
Cardium papillosum
Cardita aculeata
Testacea
Lamellibranchiata
Solen tennis
Cardium echinatum
Ligula boysii
Cardita squamosa
Kellia suborbicularis
Corbula nucleus
Arca
Nezra cuspidata
Pandora obtusa
Pectunculus pilosus
Lyousia striata
Nucula
Saxicava arctica
Psammobia discors
Tellina donacina
Chama gryphoides
Modiola barbata
Lucina commutata
Astarte incrassata
Lima squamosa
Cytherea venetiana
Venus verrucosa
Pecten hyalinus
Pecten pusio
Anomia ephippium
Terebratula detruncata
Lottia gussonii
Calyptraa sinense
Emarginula capuliformis
Fissurella
Volva acuminata
Bulleea aperta
Bulla cornea
Natica millepunctata
Eulima distorta
Parthenia acicula
Qdostomia conoidea
Rissoa ventricosa
Scalaria planicosta
Turritella triplicata
Vermetus corneus
Siliquaria anguina
Trochus
Turbo
Terebratula seminula
Crania ringens
Turbo rugosus
Phasianella pulla
Cerithium vulgatum
Triforis adversum
Pleurotoma formicaria
Fusus lavatus
Murex brandaris
Aporrhais
Cassidaria tyrrhena
Nassa intermedia
Columbella rustica
Mitra ebenus
Tornatella fasciata
Marginella clandestina
Conus mediterraneus
Vertebrata
Cidaris histrix
Venus ovata
Cerithium lima
Pleurotoma
Turbo sanguineus
Emarginula elongata
Nueula striata
Venus ovata
Pecten similis
Brachiopoda
Testacea
Testacea
Lamellibranchiata
