tagged text	entity type	term id
Cerinthe major	-2	NCBI:113423
Cichorium Endivia	-2	NCBI:114280
Cuphea procumbens	-2	NCBI:312591
Dolichos lignosus	-2	NCBI:132441
Juniperus communis	-2	NCBI:58039
Liriodendron	-2	NCBI:3413
Loasa nitida	-2	NCBI:230032
Martynia	-2	NCBI:77073
proboscidea	-2	NCBI:24234
proboscidea	-2	NCBI:9779
Mesembryanthemum	-2	NCBI:1803521
Mesembryanthemum	-2	NCBI:3543
linum	-2	NCBI:4005
Mirabilis Jalapa	-2	NCBI:3538
Morus nigra	-2	NCBI:85232
Ricinus communis	-2	NCBI:3988
Rudbeckia amplexicaulis	-2	NCBI:52290
Scorpiurus	-2	NCBI:118931
Tetragonia expansa	-2	NCBI:45318
Ulex	-2	NCBI:3901
Quercus Robur	-2	NCBI:38942
Phoenix Dactylifera	-2	NCBI:42345
Melon seed	-2	NCBI:163124
coast	-27	ENVO:00000303
ocean	-27	ENVO:00000015
ocean	-27	ENVO:01000048
shores	-27	ENVO:00000304
naries	-2	NCBI:1680610
shores	-27	ENVO:00000304
shores	-27	ENVO:00000304
Ocean	-27	ENVO:00000015
Ocean	-27	ENVO:01000048
coast	-27	ENVO:00000303
scale	-25	BTO:0005055
scale	-25	BTO:0005055
channel	-27	ENVO:00000395
shore	-27	ENVO:00000304
ocean	-27	ENVO:00000015
ocean	-27	ENVO:01000048
coast	-27	ENVO:00000303
shore	-27	ENVO:00000304
littoral	-27	ENVO:00000303
littoral	-27	ENVO:00000316
elevation	-27	ENVO:00000176
coast	-27	ENVO:00000303
Ocean	-27	ENVO:00000015
Ocean	-27	ENVO:01000048
coast	-27	ENVO:00000303
river	-27	ENVO:00000022
coast	-27	ENVO:00000303
scale	-25	BTO:0005055
scale	-25	BTO:0005055
fishes	-2	NCBI:117565
fishes	-2	NCBI:117569
fishes	-2	NCBI:118072
fishes	-2	NCBI:7777
fishes	-2	NCBI:7878
fishes	-2	NCBI:7898
open sea	-27	ENVO:00000016
scale	-25	BTO:0005055
scale	-25	BTO:0005055
scale	-25	BTO:0005055
scale	-25	BTO:0005055
horses	-2	NCBI:9788
scale	-25	BTO:0005055
witch	-2	NCBI:34819
LOA	-2	NCBI:7208
Railways	-27	ENVO:00000065
Fossil	-27	ENVO:00002164
Reptiles	-2	NCBI:1294634
Reptiles	-2	NCBI:8459
Reptiles	-2	NCBI:8504
Railway	-27	ENVO:00000065
Vegetative	-25	BTO:0001434
Fossil	-27	ENVO:00002164
Mammalia	-2	NCBI:40674
blood	-25	BTO:0000089
blood	-25	BTO:0000089
rabbits	-2	NCBI:9986
rabbits	-2	NCBI:9986
rabbit	-2	NCBI:9986
stomach	-25	BTO:0001307
rabbit	-2	NCBI:9986
mucous membrane	-25	BTO:0000886
stomach	-25	BTO:0001307
stomach	-25	BTO:0001307
stomach	-25	BTO:0001307
small intestines	-25	BTO:0000651
colon	-25	BTO:0000269
glands	-25	BTO:0000522
rectum	-25	BTO:0001158
tubercles	-25	BTO:0002173
liver	-25	BTO:0000759
stomach	-25	BTO:0001307
brain	-25	BTO:0000142
canal	-27	ENVO:00000014
rabbits	-2	NCBI:9986
muscle	-25	BTO:0000887
rabbit	-2	NCBI:9986
brain	-25	BTO:0000142
rabbit	-2	NCBI:9986
rabbits	-2	NCBI:9986
blood	-25	BTO:0000089
blood	-25	BTO:0000089
nervous system	-25	BTO:0001484
nerves	-25	BTO:0000925
brain	-25	BTO:0000142
limb	-25	BTO:0001492
limb	-25	BTO:0001492
dog	-2	NCBI:9615
thorax	-25	BTO:0001368
heart	-25	BTO:0000562
vascular system	-25	BTO:0001085
heart	-25	BTO:0000562
blood	-25	BTO:0000089
dogs	-2	NCBI:9615
human	-2	NCBI:9606
stomach	-25	BTO:0001307
heart	-25	BTO:0000562
heart	-25	BTO:0000562
brain	-25	BTO:0000142
canal	-27	ENVO:00000014
mucous membrane	-25	BTO:0000886
dog	-2	NCBI:9615
jugular vein	-25	BTO:0001744
arterial system	-25	BTO:0004690
heart	-25	BTO:0000562
arteries	-25	BTO:0000573
nervous system	-25	BTO:0001484
heart	-25	BTO:0000562
arteries	-25	BTO:0000573
heart	-25	BTO:0000562
canal	-27	ENVO:00000014
blood	-25	BTO:0000089
blood	-25	BTO:0000089
blood	-25	BTO:0000089
heart	-25	BTO:0000562
blood	-25	BTO:0000089
island	-27	ENVO:00000098
hills	-27	ENVO:00000083
hills	-27	ENVO:00000264
Isle	-27	ENVO:00000098
islands	-27	ENVO:00000098
street	-27	ENVO:00000064
Isle	-27	ENVO:00000098
island	-27	ENVO:00000098
coal-mines	-27	ENVO:00002169
gravel	-27	ENVO:01000018
Islands	-27	ENVO:00000098
West India	-2	NCBI:1460240
West India	-2	NCBI:1460240
malayas	-2	NCBI:149618
cordial	-2	NCBI:163077
cordial	-2	NCBI:181183
cordial	-2	NCBI:181185
cordial	-2	NCBI:303145
cordial	-2	NCBI:303154
cordial	-2	NCBI:79331
valley	-27	ENVO:00000100
colonial	-2	NCBI:360211
Cork	-25	BTO:0003378
Human	-2	NCBI:9606
Nervous System	-25	BTO:0001484
aon	-2	NCBI:2013469
aon	-25	BTO:0003649
Capillary	-25	BTO:0002045
Sound	-27	ENVO:00000393
F In	-25	BTO:0004649
sain	-2	NCBI:254423
Pi 2	-2	NCBI:1196084
oca	-2	NCBI:50475
vee	-2	NCBI:11036
vee	-2	NCBI:11036
vee	-2	NCBI:11036
aoa	-2	NCBI:320291
o ra	-2	NCBI:1569154
BE os	-2	NCBI:2048938
vee	-2	NCBI:11036
vee	-2	NCBI:11036
vee	-2	NCBI:11036
