Zostera oceanica	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_38	MED-AegeanMolluscaAndRadiata_38
Caulerpa prolifera	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_39	MED-AegeanMolluscaAndRadiata_39
Dictyomenia volubilis	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_40	MED-AegeanMolluscaAndRadiata_40
Acetabularia	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_41	MED-AegeanMolluscaAndRadiata_41
Pecten sulcatus	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_42	MED-AegeanMolluscaAndRadiata_42
Pecten varius	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_43	MED-AegeanMolluscaAndRadiata_43
Modiola barbata	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_44	MED-AegeanMolluscaAndRadiata_44
Solen tenuis	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_45	MED-AegeanMolluscaAndRadiata_45
Solen coarctatus	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_46	MED-AegeanMolluscaAndRadiata_46
Thracia pubescens	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_47	MED-AegeanMolluscaAndRadiata_47
Erycina renierii	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_48	MED-AegeanMolluscaAndRadiata_48
Pandora obtusa	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_49	MED-AegeanMolluscaAndRadiata_49
Tellina donacina	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_50	MED-AegeanMolluscaAndRadiata_50
Corbula nucleus	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_51	MED-AegeanMolluscaAndRadiata_51
Cardium echinatum	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_52	MED-AegeanMolluscaAndRadiata_52
Artemis lirata	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_53	MED-AegeanMolluscaAndRadiata_53
Montacuta	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_54	MED-AegeanMolluscaAndRadiata_54
Arca margaritacea	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_55	MED-AegeanMolluscaAndRadiata_55
Nucula emarginata	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_56	MED-AegeanMolluscaAndRadiata_56
Dentalium novemcostatum	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_57	MED-AegeanMolluscaAndRadiata_57
Turritella terebra	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_58	MED-AegeanMolluscaAndRadiata_58
Turbonilla (Chemnitzia) elegantissima	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_59	MED-AegeanMolluscaAndRadiata_59
Eulima subulata	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_60	MED-AegeanMolluscaAndRadiata_60
Bulla truncatula	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_61	MED-AegeanMolluscaAndRadiata_61
Bulla striatula	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_62	MED-AegeanMolluscaAndRadiata_62
Rissoa monodonta	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_63	MED-AegeanMolluscaAndRadiata_63
Ringicula auriculata	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_64	MED-AegeanMolluscaAndRadiata_64
Pleurotoma formicaria	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_65	MED-AegeanMolluscaAndRadiata_65
Cerithium angustissimum	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_66	MED-AegeanMolluscaAndRadiata_66
Buccinum variabile	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_67	MED-AegeanMolluscaAndRadiata_67
Buccinum granulatum	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_68	MED-AegeanMolluscaAndRadiata_68
Murex brandaris	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_69	MED-AegeanMolluscaAndRadiata_69
Natica pulchella	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_70	MED-AegeanMolluscaAndRadiata_70
