AphiaID	url	scientificname	authority	status	unacceptreason	taxonRankID	rank	valid_AphiaID	valid_name	valid_authority	parentNameUsageID	kingdom	phylum	class	order	family	genus	citation	lsid	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct	match_type	modified	id	tool
718945	https://www.marinespecies.org/aphia.php?p=taxdetails&id=718945	Cleodora pyramidata	(Linnaeus, 1767)	unaccepted	NA	220	Species	139033	Clio pyramidata	Linnaeus, 1767	605989	Animalia	Mollusca	Gastropoda	Pteropoda	Cliidae	Cleodora	MolluscaBase eds. (2021). MolluscaBase. Cleodora pyramidata (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=718945 on 2021-01-29	urn:lsid:marinespecies.org:taxname:718945	1	NA	NA	NA	NA	exact	2013-02-11T14:46:49.960Z	718945	aphia_id
135085	https://www.marinespecies.org/aphia.php?p=taxdetails&id=135085	Caryophyllia	Lamarck, 1801	accepted	NA	180	Genus	135085	Caryophyllia	Lamarck, 1801	135073	Animalia	Cnidaria	Anthozoa	Scleractinia	Caryophylliidae	Caryophyllia	Hoeksema, B. W.; Cairns, S. (2021). World List of Scleractinia. Caryophyllia Lamarck, 1801. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135085 on 2021-01-29	urn:lsid:marinespecies.org:taxname:135085	1	0	0	0	0	exact	2020-01-12T17:20:22.097Z	135085	aphia_id
1335136	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1335136	Terebratula vitrea	(Born, 1778)	unaccepted	NA	220	Species	104068	Gryphus vitreus	(Born, 1778)	869072	Animalia	Brachiopoda	Rhynchonellata	Terebratulida	Terebratulidae	Terebratula	WoRMS (2021). Terebratula vitrea (Born, 1778). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1335136 on 2021-01-29	urn:lsid:marinespecies.org:taxname:1335136	1	NA	NA	NA	NA	exact	2019-03-21T07:33:33.503Z	1335136	aphia_id
104066	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104066	Platidia anomioides	(Scacchi & Philippi in Philippi, 1844)	accepted	NA	220	Species	104066	Platidia anomioides	(Scacchi & Philippi in Philippi, 1844)	104049	Animalia	Brachiopoda	Rhynchonellata	Terebratulida	Platidiidae	Platidia	WoRMS (2021). Platidia anomioides (Scacchi & Philippi in Philippi, 1844). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104066 on 2021-01-29	urn:lsid:marinespecies.org:taxname:104066	1	NA	NA	NA	NA	exact	2019-03-20T06:02:30.917Z	104066	aphia_id
235385	https://www.marinespecies.org/aphia.php?p=taxdetails&id=235385	Novocrania anomala	(O. F. Müller, 1776)	accepted	NA	220	Species	235385	Novocrania anomala	(O. F. Müller, 1776)	235165	Animalia	Brachiopoda	Craniata	Craniida	Craniidae	Novocrania	WoRMS (2021). Novocrania anomala (O. F. Müller, 1776). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=235385 on 2021-01-29	urn:lsid:marinespecies.org:taxname:235385	1	NA	NA	NA	NA	exact	2016-02-08T05:55:17.940Z	235385	aphia_id
749789	https://www.marinespecies.org/aphia.php?p=taxdetails&id=749789	Pecten fenestratus	Forbes, 1844	unaccepted		220	Species	181287	Parvamussium fenestratum	(Forbes, 1844)	138323	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Pecten	MolluscaBase eds. (2021). MolluscaBase. Pecten fenestratus Forbes, 1844. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=749789 on 2021-01-29	urn:lsid:marinespecies.org:taxname:749789	1	NA	NA	NA	NA	exact	2014-01-30T12:11:24.390Z	749789	aphia_id
141550	https://www.marinespecies.org/aphia.php?p=taxdetails&id=141550	Spondylus gussonii	O. G. Costa, 1830	accepted	NA	220	Species	141550	Spondylus gussonii	O. G. Costa, 1830	138518	Animalia	Mollusca	Bivalvia	Pectinida	Spondylidae	Spondylus	MolluscaBase eds. (2021). MolluscaBase. Spondylus gussonii O. G. Costa, 1830. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141550 on 2021-01-29	urn:lsid:marinespecies.org:taxname:141550	1	NA	NA	NA	NA	exact	2014-01-24T06:18:06.193Z	141550	aphia_id
751274	https://www.marinespecies.org/aphia.php?p=taxdetails&id=751274	Neaera cuspidata	(Olivi, 1792)	unaccepted		220	Species	139442	Cuspidaria cuspidata	(Olivi, 1792)	151924	Animalia	Mollusca	Bivalvia	NA	Cuspidariidae	Neaera	MolluscaBase eds. (2021). MolluscaBase. Neaera cuspidata (Olivi, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=751274 on 2021-01-29	urn:lsid:marinespecies.org:taxname:751274	1	NA	NA	NA	NA	exact	2014-01-31T09:42:27.307Z	751274	aphia_id
541706	https://www.marinespecies.org/aphia.php?p=taxdetails&id=541706	Neaera attenuata	Forbes, 1843	unaccepted	NA	220	Species	139453	Cuspidaria rostrata	(Spengler, 1793)	151924	Animalia	Mollusca	Bivalvia	NA	Cuspidariidae	Neaera	MolluscaBase eds. (2021). MolluscaBase. Neaera attenuata Forbes, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=541706 on 2021-01-29	urn:lsid:marinespecies.org:taxname:541706	1	NA	NA	NA	NA	exact	2010-11-10T16:07:33.523Z	541706	aphia_id
399398	https://www.marinespecies.org/aphia.php?p=taxdetails&id=399398	Fusus echinatus	Kiener, 1839	unaccepted	original combination	220	Species	181040	Pagodula echinata	(Kiener, 1839)	446048	Animalia	Mollusca	Gastropoda	Neogastropoda	Fasciolariidae	Fusus	MolluscaBase eds. (2021). MolluscaBase. Fusus echinatus Kiener, 1839. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=399398 on 2021-01-29	urn:lsid:marinespecies.org:taxname:399398	1	0	0	0	NA	exact	2019-04-26T15:42:17.797Z	399398	aphia_id
533094	https://www.marinespecies.org/aphia.php?p=taxdetails&id=533094	Microdrillia crispata	(Cristofori & Jan, 1832)	accepted	NA	220	Species	533094	Microdrillia crispata	(Cristofori & Jan, 1832)	137821	Animalia	Mollusca	Gastropoda	Neogastropoda	Borsoniidae	Microdrillia	MolluscaBase eds. (2021). MolluscaBase. Microdrillia crispata (Cristofori & Jan, 1832). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=533094 on 2021-01-29	urn:lsid:marinespecies.org:taxname:533094	1	NA	NA	NA	NA	exact	2010-10-15T08:54:50.360Z	533094	aphia_id
